,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
197,3.200875997543335,0.0,0.0025131702423095703,0.0,0.01,"(8,)",100,1,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 1}",0.37666666666666665,0.37666666666666665,0.0,738,0.3770833333333334,0.3770833333333334,0.0
201,2.603817939758301,0.0,0.004069805145263672,0.0,0.01,"(8,)",1000,1,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 1}",0.37666666666666665,0.37666666666666665,0.0,738,0.3770833333333334,0.3770833333333334,0.0
12,3.950631856918335,0.0,0.002672910690307617,0.0,0.0001,"(8,)",10000,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 0}",0.375,0.375,0.0,741,0.40208333333333335,0.40208333333333335,0.0
8,4.465442180633545,0.0,0.001728057861328125,0.0,0.0001,"(8,)",1000,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 0}",0.375,0.375,0.0,741,0.40208333333333335,0.40208333333333335,0.0
484,1.6138670444488525,0.0,0.001967906951904297,0.0,10.0,"(8,)",100,0,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 0}",0.37166666666666665,0.37166666666666665,0.0,743,0.4054166666666667,0.4054166666666667,0.0
492,1.7474281787872314,0.0,0.0021250247955322266,0.0,10.0,"(8,)",10000,0,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 0}",0.37166666666666665,0.37166666666666665,0.0,743,0.4054166666666667,0.4054166666666667,0.0
488,1.9133119583129883,0.0,0.0067081451416015625,0.0,10.0,"(8,)",1000,0,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 0}",0.37166666666666665,0.37166666666666665,0.0,743,0.4054166666666667,0.4054166666666667,0.0
787,0.2687251567840576,0.0,0.003676891326904297,0.0,10000.0,"(16,)",10,3,"{'alpha': 10000.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.36000000000000004,0.36000000000000004,0.0,746,0.34520833333333334,0.34520833333333334,0.0
293,2.146167039871216,0.0,0.0030257701873779297,0.0,0.1,"(8,)",100,1,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 1}",0.35333333333333333,0.35333333333333333,0.0,747,0.366875,0.366875,0.0
102,3.060565948486328,0.0,0.004434823989868164,0.0,0.001,"(8,)",100,2,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.3416666666666666,0.3416666666666666,0.0,748,0.34770833333333334,0.34770833333333334,0.0
493,2.2974557876586914,0.0,0.002482175827026367,0.0,10.0,"(8,)",10000,1,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 1}",0.33666666666666667,0.33666666666666667,0.0,749,0.36041666666666666,0.36041666666666666,0.0
