,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
2,8.06978988647461,0.0,0.002233743667602539,0.0,100000.0,"(64,)","{'alpha': 100000.0, 'hidden_layer_sizes': (64,)}",0.7866666666666667,0.7866666666666667,0.0,1,0.9516666666666667,0.9516666666666667,0.0
1,130.282940864563,0.0,0.0037660598754882812,0.0,10000.0,"(64,)","{'alpha': 10000.0, 'hidden_layer_sizes': (64,)}",0.7516666666666666,0.7516666666666666,0.0,2,0.9879166666666667,0.9879166666666667,0.0
0,73.79839897155762,0.0,0.010619878768920898,0.0,1000.0,"(64,)","{'alpha': 1000.0, 'hidden_layer_sizes': (64,)}",0.725,0.725,0.0,3,1.0,1.0,0.0
3,10.949128866195679,0.0,0.005231142044067383,0.0,1000000.0,"(64,)","{'alpha': 1000000.0, 'hidden_layer_sizes': (64,)}",0.7133333333333334,0.7133333333333334,0.0,4,0.7593749999999999,0.7593749999999999,0.0
4,1.7036871910095215,0.0,0.002707958221435547,0.0,10000000.0,"(64,)","{'alpha': 10000000.0, 'hidden_layer_sizes': (64,)}",0.16666666666666666,0.16666666666666666,0.0,5,0.16666666666666666,0.16666666666666666,0.0
5,1.1866121292114258,0.0,0.0036118030548095703,0.0,100000000.0,"(64,)","{'alpha': 100000000.0, 'hidden_layer_sizes': (64,)}",0.16666666666666666,0.16666666666666666,0.0,5,0.16666666666666666,0.16666666666666666,0.0
6,1.1388359069824219,0.0,0.004579067230224609,0.0,1000000000.0,"(64,)","{'alpha': 1000000000.0, 'hidden_layer_sizes': (64,)}",0.16666666666666666,0.16666666666666666,0.0,5,0.16666666666666666,0.16666666666666666,0.0
