,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
313,186.21754097938538,0.0,0.008004426956176758,0.0,10000.0,"(512,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (512,), 'random_state': 1}",0.64,0.64,0.0,179,0.633125,0.633125,0.0
22,1.8250024318695068,0.0,0.004999876022338867,0.0,1e-05,"(256,)",2,"{'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.64,0.64,0.0,179,1.0,1.0,0.0
20,1.8100006580352783,0.0,0.0049991607666015625,0.0,1e-05,"(256,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (256,), 'random_state': 0}",0.64,0.64,0.0,179,1.0,1.0,0.0
118,1.7890000343322754,0.0,0.0049991607666015625,0.0,0.01,"(256,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.64,0.64,0.0,179,1.0,1.0,0.0
305,43.03899931907654,0.0,0.0030024051666259766,0.0,10000.0,"(128,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'random_state': 1}",0.64,0.64,0.0,179,0.6349999999999999,0.6349999999999999,0.0
297,18.480533599853516,0.0,0.003000974655151367,0.0,10000.0,"(32,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'random_state': 1}",0.64,0.64,0.0,179,0.6329166666666667,0.6329166666666667,0.0
309,91.99899649620056,0.0,0.004000186920166016,0.0,10000.0,"(256,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'random_state': 1}",0.64,0.64,0.0,179,0.633125,0.633125,0.0
12,0.9499964714050293,0.0,0.003001689910888672,0.0,1e-05,"(64,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'random_state': 0}",0.64,0.64,0.0,179,1.0,1.0,0.0
150,1.8489937782287598,0.0,0.004000425338745117,0.0,0.1,"(256,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.64,0.64,0.0,179,1.0,1.0,0.0
301,21.962000131607056,0.0,0.003000974655151367,0.0,10000.0,"(64,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'random_state': 1}",0.64,0.64,0.0,179,0.6329166666666667,0.6329166666666667,0.0
54,1.7516751289367676,0.0,0.006001949310302734,0.0,0.0001,"(256,)",2,"{'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.64,0.64,0.0,179,1.0,1.0,0.0
300,20.614997625350952,0.0,0.0030007362365722656,0.0,10000.0,"(64,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'random_state': 0}",0.6383333333333333,0.6383333333333333,0.0,205,0.6335416666666667,0.6335416666666667,0.0
319,341.4095377922058,0.0,0.013998270034790039,0.0,10000.0,"(1024,)",3,"{'alpha': 10000.0, 'hidden_layer_sizes': (1024,), 'random_state': 3}",0.6383333333333333,0.6383333333333333,0.0,205,0.6347916666666666,0.6347916666666666,0.0
111,1.1049952507019043,0.0,0.0020003318786621094,0.0,0.01,"(64,)",3,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'random_state': 3}",0.6383333333333333,0.6383333333333333,0.0,205,1.0,1.0,0.0
296,15.966629981994629,0.0,0.002000093460083008,0.0,10000.0,"(32,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.6383333333333333,0.6383333333333333,0.0,205,0.6375000000000001,0.6375000000000001,0.0
292,7.051117420196533,0.0,0.002000093460083008,0.0,10000.0,"(16,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.6383333333333333,0.6383333333333333,0.0,205,0.6370833333333333,0.6370833333333333,0.0
304,32.74462413787842,0.0,0.0030028820037841797,0.0,10000.0,"(128,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'random_state': 0}",0.6383333333333333,0.6383333333333333,0.0,205,0.6360416666666667,0.6360416666666667,0.0
165,1.5490012168884277,0.0,0.0019998550415039062,0.0,1.0,"(16,)",1,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.6383333333333333,0.6383333333333333,0.0,205,0.7933333333333333,0.7933333333333333,0.0
107,3.5864827632904053,0.0,0.0020003318786621094,0.0,0.01,"(32,)",3,"{'alpha': 0.01, 'hidden_layer_sizes': (32,), 'random_state': 3}",0.6383333333333333,0.6383333333333333,0.0,205,0.6641666666666667,0.6641666666666667,0.0
289,3.9690017700195312,0.0,0.0009999275207519531,0.0,10000.0,"(8,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.6383333333333333,0.6383333333333333,0.0,205,0.6391666666666667,0.6391666666666667,0.0
310,88.85926985740662,0.0,0.006001949310302734,0.0,10000.0,"(256,)",2,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.6383333333333333,0.6383333333333333,0.0,205,0.6329166666666667,0.6329166666666667,0.0
312,167.2630615234375,0.0,0.008998870849609375,0.0,10000.0,"(512,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (512,), 'random_state': 0}",0.6383333333333333,0.6383333333333333,0.0,205,0.6370833333333333,0.6370833333333333,0.0
306,31.319234609603882,0.0,0.004000186920166016,0.0,10000.0,"(128,)",2,"{'alpha': 10000.0, 'hidden_layer_sizes': (128,), 'random_state': 2}",0.6383333333333333,0.6383333333333333,0.0,205,0.6377083333333334,0.6377083333333334,0.0
298,13.100000619888306,0.0,0.002997159957885742,0.0,10000.0,"(32,)",2,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.6366666666666667,0.6366666666666667,0.0,217,0.6377083333333334,0.6377083333333334,0.0
106,1.5950005054473877,0.0,0.0029985904693603516,0.0,0.01,"(32,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.6366666666666667,0.6366666666666667,0.0,217,1.0,1.0,0.0
227,2.1830015182495117,0.0,0.0029981136322021484,0.0,100.0,"(8,)",3,"{'alpha': 100.0, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.6366666666666667,0.6366666666666667,0.0,217,0.9987499999999999,0.9987499999999999,0.0
295,11.091001749038696,0.0,0.0019996166229248047,0.0,10000.0,"(16,)",3,"{'alpha': 10000.0, 'hidden_layer_sizes': (16,), 'random_state': 3}",0.6366666666666667,0.6366666666666667,0.0,217,0.6347916666666666,0.6347916666666666,0.0
311,91.41938138008118,0.0,0.005001544952392578,0.0,10000.0,"(256,)",3,"{'alpha': 10000.0, 'hidden_layer_sizes': (256,), 'random_state': 3}",0.6366666666666667,0.6366666666666667,0.0,217,0.6358333333333334,0.6358333333333334,0.0
293,6.4879982471466064,0.0,0.0019981861114501953,0.0,10000.0,"(16,)",1,"{'alpha': 10000.0, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.6366666666666667,0.6366666666666667,0.0,217,0.6337499999999999,0.6337499999999999,0.0
291,6.51799750328064,0.0,0.0020008087158203125,0.0,10000.0,"(8,)",3,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.6366666666666667,0.6366666666666667,0.0,217,0.6360416666666666,0.6360416666666666,0.0
288,4.655000925064087,0.0,0.002997875213623047,0.0,10000.0,"(8,)",0,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'random_state': 0}",0.6366666666666667,0.6366666666666667,0.0,217,0.6337499999999999,0.6337499999999999,0.0
8,1.7679965496063232,0.0,0.0029993057250976562,0.0,1e-05,"(32,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.6366666666666667,0.6366666666666667,0.0,217,0.6633333333333333,0.6633333333333333,0.0
318,389.2896604537964,0.0,0.01400136947631836,0.0,10000.0,"(1024,)",2,"{'alpha': 10000.0, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.6366666666666667,0.6366666666666667,0.0,217,0.6372916666666667,0.6372916666666667,0.0
303,17.454617023468018,0.0,0.0030002593994140625,0.0,10000.0,"(64,)",3,"{'alpha': 10000.0, 'hidden_layer_sizes': (64,), 'random_state': 3}",0.6366666666666667,0.6366666666666667,0.0,217,0.6341666666666667,0.6341666666666667,0.0
104,1.6240010261535645,0.0,0.0029990673065185547,0.0,0.01,"(32,)",0,"{'alpha': 0.01, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.6366666666666666,0.6366666666666666,0.0,228,0.6597916666666667,0.6597916666666667,0.0
101,2.359999895095825,0.0,0.0020012855529785156,0.0,0.01,"(16,)",1,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.6366666666666666,0.6366666666666666,0.0,228,0.7958333333333333,0.7958333333333333,0.0
148,1.897002935409546,0.0,0.00501704216003418,0.0,0.1,"(256,)",0,"{'alpha': 0.1, 'hidden_layer_sizes': (256,), 'random_state': 0}",0.6350000000000001,0.6350000000000001,0.0,230,1.0,1.0,0.0
138,1.4479992389678955,0.0,0.002998828887939453,0.0,0.1,"(32,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.6350000000000001,0.6350000000000001,0.0,230,0.9966666666666667,0.9966666666666667,0.0
10,1.0959980487823486,0.0,0.002000093460083008,0.0,1e-05,"(32,)",2,"{'alpha': 1e-05, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.635,0.635,0.0,232,1.0,1.0,0.0
72,1.6939988136291504,0.0,0.0030014514923095703,0.0,0.001,"(32,)",0,"{'alpha': 0.001, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.6349999999999999,0.6349999999999999,0.0,233,0.6645833333333333,0.6645833333333333,0.0
136,1.9979889392852783,0.0,0.0030007362365722656,0.0,0.1,"(32,)",0,"{'alpha': 0.1, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.6333333333333334,0.6333333333333334,0.0,234,0.665,0.665,0.0
79,1.1416058540344238,0.0,0.0030012130737304688,0.0,0.001,"(64,)",3,"{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'random_state': 3}",0.6333333333333334,0.6333333333333334,0.0,234,1.0,1.0,0.0
36,2.4620003700256348,0.0,0.0019998550415039062,0.0,0.0001,"(16,)",0,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.6333333333333333,0.6333333333333333,0.0,236,0.6310416666666666,0.6310416666666666,0.0
140,3.643998622894287,0.0,0.004002571105957031,0.0,0.1,"(64,)",0,"{'alpha': 0.1, 'hidden_layer_sizes': (64,), 'random_state': 0}",0.6333333333333333,0.6333333333333333,0.0,236,1.0,1.0,0.0
100,2.020998477935791,0.0,0.002000093460083008,0.0,0.01,"(16,)",0,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.6333333333333333,0.6333333333333333,0.0,236,0.6339583333333333,0.6339583333333333,0.0
75,3.4285295009613037,0.0,0.002999544143676758,0.0,0.001,"(32,)",3,"{'alpha': 0.001, 'hidden_layer_sizes': (32,), 'random_state': 3}",0.6316666666666667,0.6316666666666667,0.0,239,0.665,0.665,0.0
132,4.107518196105957,0.0,0.0019998550415039062,0.0,0.1,"(16,)",0,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.6316666666666667,0.6316666666666667,0.0,239,0.6527083333333333,0.6527083333333333,0.0
143,0.9999978542327881,0.0,0.002000570297241211,0.0,0.1,"(64,)",3,"{'alpha': 0.1, 'hidden_layer_sizes': (64,), 'random_state': 3}",0.6283333333333334,0.6283333333333334,0.0,241,1.0,1.0,0.0
38,5.86899995803833,0.0,0.0019998550415039062,0.0,0.0001,"(16,)",2,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.6266666666666666,0.6266666666666666,0.0,242,0.6662500000000001,0.6662500000000001,0.0
108,0.9790000915527344,0.0,0.0030007362365722656,0.0,0.01,"(64,)",0,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'random_state': 0}",0.6266666666666666,0.6266666666666666,0.0,242,1.0,1.0,0.0
11,3.542998790740967,0.0,0.0029993057250976562,0.0,1e-05,"(32,)",3,"{'alpha': 1e-05, 'hidden_layer_sizes': (32,), 'random_state': 3}",0.6266666666666666,0.6266666666666666,0.0,242,0.6645833333333333,0.6645833333333333,0.0
69,1.0435383319854736,0.0,0.0019996166229248047,0.0,0.001,"(16,)",1,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.625,0.625,0.0,245,0.6195833333333333,0.6195833333333333,0.0
4,5.177001953125,0.0,0.0020008087158203125,0.0,1e-05,"(16,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.625,0.625,0.0,245,0.6627083333333333,0.6627083333333333,0.0
164,5.607999324798584,0.0,0.002001047134399414,0.0,1.0,"(16,)",0,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.62,0.62,0.0,247,0.6658333333333334,0.6658333333333334,0.0
145,6.318998575210571,0.0,0.003001689910888672,0.0,0.1,"(128,)",1,"{'alpha': 0.1, 'hidden_layer_sizes': (128,), 'random_state': 1}",0.62,0.62,0.0,247,1.0,1.0,0.0
5,5.548995018005371,0.0,0.0029985904693603516,0.0,1e-05,"(16,)",1,"{'alpha': 1e-05, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.6183333333333333,0.6183333333333333,0.0,249,0.6445833333333334,0.6445833333333334,0.0
70,2.6710033416748047,0.0,0.002000093460083008,0.0,0.001,"(16,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.6166666666666667,0.6166666666666667,0.0,250,0.665625,0.665625,0.0
37,2.1010115146636963,0.0,0.0020024776458740234,0.0,0.0001,"(16,)",1,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.61,0.61,0.0,251,0.6314583333333333,0.6314583333333333,0.0
133,2.3729984760284424,0.0,0.002001047134399414,0.0,0.1,"(16,)",1,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.61,0.61,0.0,251,0.8016666666666666,0.8016666666666666,0.0
102,1.6020033359527588,0.0,0.0019989013671875,0.0,0.01,"(16,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.6083333333333333,0.6083333333333333,0.0,253,0.6345833333333334,0.6345833333333334,0.0
166,2.2989964485168457,0.0,0.0030007362365722656,0.0,1.0,"(16,)",2,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.6033333333333334,0.6033333333333334,0.0,254,0.6641666666666667,0.6641666666666667,0.0
198,1.3189952373504639,0.0,0.0019998550415039062,0.0,10.0,"(16,)",2,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.5966666666666667,0.5966666666666667,0.0,255,0.6470833333333333,0.6470833333333333,0.0
134,1.1869983673095703,0.0,0.002000570297241211,0.0,0.1,"(16,)",2,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.5966666666666667,0.5966666666666667,0.0,255,0.629375,0.629375,0.0
6,1.8829996585845947,0.0,0.0019998550415039062,0.0,1e-05,"(16,)",2,"{'alpha': 1e-05, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.5933333333333334,0.5933333333333334,0.0,257,0.6625000000000001,0.6625000000000001,0.0
68,2.322000741958618,0.0,0.0020003318786621094,0.0,0.001,"(16,)",0,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.5650000000000001,0.5650000000000001,0.0,258,0.575,0.575,0.0
195,1.768000602722168,0.0,0.002000093460083008,0.0,10.0,"(8,)",3,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.555,0.555,0.0,259,0.5985416666666666,0.5985416666666666,0.0
345,540.2286493778229,0.0,0.01100921630859375,0.0,100000.0,"(512,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (512,), 'random_state': 1}",0.55,0.55,0.0,260,0.5402083333333333,0.5402083333333333,0.0
348,743.2022898197174,0.0,0.012986183166503906,0.0,100000.0,"(1024,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (1024,), 'random_state': 0}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
330,36.49197721481323,0.0,0.0029969215393066406,0.0,100000.0,"(32,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (32,), 'random_state': 2}",0.55,0.55,0.0,260,0.54,0.54,0.0
331,39.3010094165802,0.0,0.003001689910888672,0.0,100000.0,"(32,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (32,), 'random_state': 3}",0.55,0.55,0.0,260,0.541875,0.541875,0.0
332,53.826008796691895,0.0,0.0029954910278320312,0.0,100000.0,"(64,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (64,), 'random_state': 0}",0.55,0.55,0.0,260,0.5402083333333333,0.5402083333333333,0.0
333,43.92826581001282,0.0,0.0030002593994140625,0.0,100000.0,"(64,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (64,), 'random_state': 1}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
337,103.5145354270935,0.0,0.003002166748046875,0.0,100000.0,"(128,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (128,), 'random_state': 1}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
347,529.9121656417847,0.0,0.006999492645263672,0.0,100000.0,"(512,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (512,), 'random_state': 3}",0.55,0.55,0.0,260,0.5414583333333334,0.5414583333333334,0.0
338,111.95273613929749,0.0,0.0025625228881835938,0.0,100000.0,"(128,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (128,), 'random_state': 2}",0.55,0.55,0.0,260,0.5395833333333333,0.5395833333333333,0.0
340,324.57415199279785,0.0,0.0070018768310546875,0.0,100000.0,"(256,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (256,), 'random_state': 0}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
341,210.59064602851868,0.0,0.004000425338745117,0.0,100000.0,"(256,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (256,), 'random_state': 1}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
343,262.19777178764343,0.0,0.0050048828125,0.0,100000.0,"(256,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (256,), 'random_state': 3}",0.55,0.55,0.0,260,0.54,0.54,0.0
346,635.2368547916412,0.0,0.010001897811889648,0.0,100000.0,"(512,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (512,), 'random_state': 2}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
344,353.56736302375793,0.0,0.011992454528808594,0.0,100000.0,"(512,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (512,), 'random_state': 0}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
336,165.0035445690155,0.0,0.0030002593994140625,0.0,100000.0,"(128,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (128,), 'random_state': 0}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
334,46.82890176773071,0.0,0.003002643585205078,0.0,100000.0,"(64,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (64,), 'random_state': 2}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
351,836.3303625583649,0.0,0.01598978042602539,0.0,100000.0,"(1024,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (1024,), 'random_state': 3}",0.55,0.55,0.0,260,0.5416666666666666,0.5416666666666666,0.0
350,1110.1318106651306,0.0,0.015996694564819336,0.0,100000.0,"(1024,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (1024,), 'random_state': 2}",0.55,0.55,0.0,260,0.541875,0.541875,0.0
323,4.613998889923096,0.0,0.0020012855529785156,0.0,100000.0,"(8,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.5483333333333333,0.5483333333333333,0.0,278,0.5395833333333333,0.5395833333333333,0.0
339,95.8329405784607,0.0,0.004000425338745117,0.0,100000.0,"(128,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (128,), 'random_state': 3}",0.5483333333333333,0.5483333333333333,0.0,278,0.5414583333333333,0.5414583333333333,0.0
342,179.03488326072693,0.0,0.004998445510864258,0.0,100000.0,"(256,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (256,), 'random_state': 2}",0.5483333333333333,0.5483333333333333,0.0,278,0.5414583333333333,0.5414583333333333,0.0
328,28.669998168945312,0.0,0.003000974655151367,0.0,100000.0,"(32,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (32,), 'random_state': 0}",0.5483333333333333,0.5483333333333333,0.0,278,0.5402083333333333,0.5402083333333333,0.0
349,1013.8177375793457,0.0,0.014002799987792969,0.0,100000.0,"(1024,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (1024,), 'random_state': 1}",0.5483333333333333,0.5483333333333333,0.0,278,0.5416666666666666,0.5416666666666666,0.0
325,3.73298978805542,0.0,0.002001047134399414,0.0,100000.0,"(16,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (16,), 'random_state': 1}",0.5466666666666666,0.5466666666666666,0.0,283,0.5391666666666667,0.5391666666666667,0.0
320,3.193000555038452,0.0,0.0010001659393310547,0.0,100000.0,"(8,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (8,), 'random_state': 0}",0.5466666666666666,0.5466666666666666,0.0,283,0.539375,0.539375,0.0
327,7.180997371673584,0.0,0.0019998550415039062,0.0,100000.0,"(16,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (16,), 'random_state': 3}",0.5466666666666666,0.5466666666666666,0.0,283,0.5391666666666667,0.5391666666666667,0.0
322,3.431001663208008,0.0,0.0020003318786621094,0.0,100000.0,"(8,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (8,), 'random_state': 2}",0.5466666666666666,0.5466666666666666,0.0,283,0.5391666666666667,0.5391666666666667,0.0
321,2.965993642807007,0.0,0.0019998550415039062,0.0,100000.0,"(8,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.5466666666666666,0.5466666666666666,0.0,283,0.539375,0.539375,0.0
335,14.87852931022644,0.0,0.003003358840942383,0.0,100000.0,"(64,)",3,"{'alpha': 100000.0, 'hidden_layer_sizes': (64,), 'random_state': 3}",0.5466666666666666,0.5466666666666666,0.0,283,0.5395833333333333,0.5395833333333333,0.0
326,8.152000665664673,0.0,0.0020012855529785156,0.0,100000.0,"(16,)",2,"{'alpha': 100000.0, 'hidden_layer_sizes': (16,), 'random_state': 2}",0.545,0.545,0.0,289,0.5395833333333333,0.5395833333333333,0.0
329,11.136993885040283,0.0,0.002000570297241211,0.0,100000.0,"(32,)",1,"{'alpha': 100000.0, 'hidden_layer_sizes': (32,), 'random_state': 1}",0.545,0.545,0.0,289,0.5391666666666667,0.5391666666666667,0.0
131,1.9449949264526367,0.0,0.002000570297241211,0.0,0.1,"(8,)",3,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.545,0.545,0.0,289,0.5739583333333333,0.5739583333333333,0.0
324,7.080995321273804,0.0,0.0019974708557128906,0.0,100000.0,"(16,)",0,"{'alpha': 100000.0, 'hidden_layer_sizes': (16,), 'random_state': 0}",0.545,0.545,0.0,289,0.5395833333333333,0.5395833333333333,0.0
99,2.0750012397766113,0.0,0.002000093460083008,0.0,0.01,"(8,)",3,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.5416666666666666,0.5416666666666666,0.0,293,0.580625,0.580625,0.0
193,1.3789863586425781,0.0,0.001999378204345703,0.0,10.0,"(8,)",1,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.5383333333333332,0.5383333333333332,0.0,294,0.561875,0.561875,0.0
163,4.741999626159668,0.0,0.002999544143676758,0.0,1.0,"(8,)",3,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.5366666666666667,0.5366666666666667,0.0,295,0.6122916666666667,0.6122916666666667,0.0
97,1.6270062923431396,0.0,0.0019991397857666016,0.0,0.01,"(8,)",1,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.49000000000000005,0.49000000000000005,0.0,296,0.500625,0.500625,0.0
129,2.1949949264526367,0.0,0.0019998550415039062,0.0,0.1,"(8,)",1,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.49,0.49,0.0,297,0.5214583333333334,0.5214583333333334,0.0
0,6.006997108459473,0.0,0.002998828887939453,0.0,1e-05,"(8,)",0,"{'alpha': 1e-05, 'hidden_layer_sizes': (8,), 'random_state': 0}",0.48833333333333334,0.48833333333333334,0.0,298,0.4979166666666666,0.4979166666666666,0.0
161,1.4560000896453857,0.0,0.0019998550415039062,0.0,1.0,"(8,)",1,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.4816666666666667,0.4816666666666667,0.0,299,0.49124999999999996,0.49124999999999996,0.0
162,4.03999924659729,0.0,0.0019991397857666016,0.0,1.0,"(8,)",2,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'random_state': 2}",0.4816666666666667,0.4816666666666667,0.0,299,0.4979166666666666,0.4979166666666666,0.0
167,3.052999496459961,0.0,0.0020008087158203125,0.0,1.0,"(16,)",3,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'random_state': 3}",0.47500000000000003,0.47500000000000003,0.0,301,0.5277083333333333,0.5277083333333333,0.0
160,8.424987316131592,0.0,0.0019998550415039062,0.0,1.0,"(8,)",0,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'random_state': 0}",0.465,0.465,0.0,302,0.5077083333333334,0.5077083333333334,0.0
98,1.7889988422393799,0.0,0.002000093460083008,0.0,0.01,"(8,)",2,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'random_state': 2}",0.4633333333333334,0.4633333333333334,0.0,303,0.4675,0.4675,0.0
3,0.9219970703125,0.0,0.0019991397857666016,0.0,1e-05,"(8,)",3,"{'alpha': 1e-05, 'hidden_layer_sizes': (8,), 'random_state': 3}",0.46166666666666667,0.46166666666666667,0.0,304,0.4652083333333333,0.4652083333333333,0.0
1,0.6359989643096924,0.0,0.0019986629486083984,0.0,1e-05,"(8,)",1,"{'alpha': 1e-05, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.4583333333333333,0.4583333333333333,0.0,305,0.45916666666666667,0.45916666666666667,0.0
65,0.403001070022583,0.0,0.0019998550415039062,0.0,0.001,"(8,)",1,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'random_state': 1}",0.4566666666666667,0.4566666666666667,0.0,306,0.45916666666666667,0.45916666666666667,0.0
66,1.2450001239776611,0.0,0.0029990673065185547,0.0,0.001,"(8,)",2,"{'alpha': 0.001, 'hidden_layer_sizes': (8,), 'random_state': 2}",0.4566666666666667,0.4566666666666667,0.0,306,0.46625,0.46625,0.0
39,1.936000108718872,0.0,0.0019998550415039062,0.0,0.0001,"(16,)",3,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'random_state': 3}",0.4566666666666667,0.4566666666666667,0.0,306,0.47770833333333335,0.47770833333333335,0.0
